姓名,出生年,單位,量級,體重,蹲舉,S.Rk,臥舉,B.Rk,硬舉,D.Rk,總和,T.Rk,賽制,賽事,組別,日期,地點
侯家亨,1989,個人,59kg,57.50,185.0,1,115.0,3,220.0,2,520.0,1,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
吳宸霆,1996,臺灣體大A,59kg,57.15,182.5,2,115.0,2,215.0,3,512.5,2,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
游曜維,1995,史壯健身,59kg,57.55,167.5,4,95.0,5,230.0,1,492.5,3,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
曾煒翔,1995,個人,59kg,58.25,175.0,3,102.5,4,215.0,4,492.5,4,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
邱捷揚,1992,科技新貴,59kg,58.15,152.5,6,95.0,6,212.5,5,460.0,5,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
陳麒帆,1997,高雄市A,59kg,59.00,150.0,7,120.0,1,160.0,7,430.0,6,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
黃   嶺,1998,史壯健身,59kg,57.75,165.0,5,90.0,7,170.0,6,425.0,7,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
謝宗庭,1982,高雄市A,66kg,64.75,220.0,1,165.0,1,276.0,1,661.0,1,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
范竣嘉,1999,臺灣體大A,66kg,65.55,215.0,2,150.0,2,275.5,2,640.5,2,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
林學鴻,1980,成吉思汗,66kg,65.35,205.0,4,127.5,6,222.5,6,555.0,3,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
潘文祐,1999,重心健身「心」隊,66kg,64.85,207.5,3,82.5,23,240.0,3,530.0,4,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
彭薪成,1997,史壯健身,66kg,64.15,190.0,7,115.0,10,222.5,5,527.5,5,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
鐘振瑋,1998,臺灣體大A,66kg,65.20,180.0,8,105.0,14,235.0,4,520.0,6,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
賴泓文,1999,個人,66kg,65.40,177.5,9,137.5,4,205.0,12,520.0,7,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
蘇智倫,1984,凱爾健身,66kg,65.35,160.0,18,137.5,3,220.0,8,517.5,8,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
劉偉倫,1994,史壯健身,66kg,64.90,175.0,10,120.0,7,205.0,11,500.0,9,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
羅韋宣,1996,雲林縣,66kg,65.05,170.0,15,110.0,13,220.0,7,500.0,10,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
林柏宏,1990,崇慄健體A,66kg,64.85,192.5,6,102.5,15,202.5,13,497.5,11,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
林政宏,1982,個人,66kg,64.40,172.5,11,100.0,16,210.0,9,482.5,12,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
林子揚,1993,新北市A,66kg,65.45,170.0,16,132.5,5,180.0,19,482.5,13,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
宋炳翰,1989,泰武鄉A,66kg,65.05,170.0,14,120.0,8,190.0,17,480.0,14,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
黃柏瑋,1994,個人,66kg,64.75,172.5,12,97.5,19,205.0,10,475.0,15,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
易明憲,1982,個人,66kg,63.20,170.0,13,110.0,12,172.5,21,452.5,16,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
胡維軒,1988,雲林縣,66kg,65.20,150.0,21,117.5,9,165.0,24,432.5,17,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
彭俊揚,1999,個人,66kg,63.55,160.0,17,75.0,25,190.0,15,425.0,18,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
蔡政翰,1984,科技新貴,66kg,64.90,130.0,28,100.0,18,190.0,16,420.0,19,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
葉昇航,1997,個人,66kg,65.05,145.0,23,95.0,21,170.0,22,410.0,20,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
楊川德,1998,重心健身「重」隊,66kg,65.85,142.5,24,97.5,20,170.0,23,410.0,21,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
劉俊良,1984,個人,66kg,64.95,137.5,27,90.0,22,180.0,18,407.5,22,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
陳柏維,1999,重心健身「心」隊,66kg,62.15,140.0,25,67.5,26,190.0,14,397.5,23,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
邱偉倫,1992,重心健身「重」隊,66kg,64.65,140.0,26,100.0,17,155.0,25,395.0,24,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
簡聯駿,1993,崇慄健體B,66kg,64.15,115.0,30,62.5,27,130.0,26,307.5,25,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
李宗諺,1996,巨力體能,66kg,64.75,157.5,20,0.0,-,0.0,-,-,-,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
